[2016-08-07 10:28:00] <error>  Traceback (most recent call last):
  File "/home/hitnslab/docker/demo/bin/topo_operate.py", line 173, in TopoDelete
    topo_dict=self.mongo_operate.get_data_condition("cluster",{"caseins":data["caseins"]})[0]
IndexError: list index out of range

[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_24236a9e_0_6 ifconfig eth0 10.0.3.7/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_24236a9e_0_6 route add default gw 10.0.3.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_7
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_24236a9e_0_7 ifconfig eth0 10.0.3.8/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_24236a9e_0_7 route add default gw 10.0.3.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_8
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_24236a9e_0_8 ifconfig eth0 10.0.3.9/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_24236a9e_0_8 route add default gw 10.0.3.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_9
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_24236a9e_0_9 ifconfig eth0 10.0.3.10/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_24236a9e_0_9 route add default gw 10.0.3.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_24236a9e eth0 bf33578c_24236a9e_0_10
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_24236a9e_0_10 ifconfig eth0 10.0.3.11/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_24236a9e_0_10 route add default gw 10.0.3.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_router_5
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_5 ifconfig eth0 10.0.4.1/24
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_6afa4f69_0_1
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_1 ifconfig eth0 10.0.4.2/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_1 route add default gw 10.0.4.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_6afa4f69_0_2
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_2 ifconfig eth0 10.0.4.3/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_2 route add default gw 10.0.4.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_6afa4f69_0_3
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_3 ifconfig eth0 10.0.4.4/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_3 route add default gw 10.0.4.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_6afa4f69_0_4
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_4 ifconfig eth0 10.0.4.5/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_4 route add default gw 10.0.4.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_6afa4f69_0_5
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_5 ifconfig eth0 10.0.4.6/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_5 route add default gw 10.0.4.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_6afa4f69_0_6
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_6 ifconfig eth0 10.0.4.7/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_6 route add default gw 10.0.4.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_6afa4f69_0_7
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_7 ifconfig eth0 10.0.4.8/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_7 route add default gw 10.0.4.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_6afa4f69_0_8
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_8 ifconfig eth0 10.0.4.9/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_8 route add default gw 10.0.4.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_6afa4f69_0_9
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_9 ifconfig eth0 10.0.4.10/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_9 route add default gw 10.0.4.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_6afa4f69 eth0 bf33578c_6afa4f69_0_10
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_10 ifconfig eth0 10.0.4.11/24
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_6afa4f69_0_10 route add default gw 10.0.4.1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_85478256 eth0 bf33578c_router_6
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_6 ifconfig eth0 10.0.5.1/24
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_4dcda716_3_5 br_3_5 bf33578c_router_4
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_4 ifconfig br_3_5 20.0.0.1/30
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_4dcda716_3_5 br_3_5 bf33578c_router_6
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_6 ifconfig br_3_5 20.0.0.2/30
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_4dcda716_4_5 br_4_5 bf33578c_router_5
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_5 ifconfig br_4_5 20.0.0.5/30
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_4dcda716_4_5 br_4_5 bf33578c_router_6
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_6 ifconfig br_4_5 20.0.0.6/30
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_4dcda716_0_5 br_0_5 bf33578c_router_1
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_1 ifconfig br_0_5 20.0.0.9/30
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_4dcda716_0_5 br_0_5 bf33578c_router_6
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_6 ifconfig br_0_5 20.0.0.10/30
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_4dcda716_2_5 br_2_5 bf33578c_router_3
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_3 ifconfig br_2_5 20.0.0.13/30
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_4dcda716_2_5 br_2_5 bf33578c_router_6
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_6 ifconfig br_2_5 20.0.0.14/30
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_4dcda716_2_1 br_2_1 bf33578c_router_3
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_3 ifconfig br_2_1 20.0.0.17/30
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_4dcda716_2_1 br_2_1 bf33578c_router_2
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_2 ifconfig br_2_1 20.0.0.18/30
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_4dcda716_0_1 br_0_1 bf33578c_router_1
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_1 ifconfig br_0_1 20.0.0.21/30
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_4dcda716_0_1 br_0_1 bf33578c_router_2
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_2 ifconfig br_0_1 20.0.0.22/30
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_1 route add -net 10.0.1.0 netmask 255.255.255.0 gw 20.0.0.22
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_1 route add -net 10.0.2.0 netmask 255.255.255.0 gw 20.0.0.22
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_1 route add -net 10.0.3.0 netmask 255.255.255.0 gw 20.0.0.10
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_1 route add -net 10.0.4.0 netmask 255.255.255.0 gw 20.0.0.10
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_1 route add -net 10.0.5.0 netmask 255.255.255.0 gw 20.0.0.10
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_2 route add -net 10.0.0.0 netmask 255.255.255.0 gw 20.0.0.21
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_2 route add -net 10.0.2.0 netmask 255.255.255.0 gw 20.0.0.17
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_2 route add -net 10.0.3.0 netmask 255.255.255.0 gw 20.0.0.21
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_2 route add -net 10.0.4.0 netmask 255.255.255.0 gw 20.0.0.21
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_2 route add -net 10.0.5.0 netmask 255.255.255.0 gw 20.0.0.21
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_3 route add -net 10.0.0.0 netmask 255.255.255.0 gw 20.0.0.18
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_3 route add -net 10.0.1.0 netmask 255.255.255.0 gw 20.0.0.18
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_3 route add -net 10.0.3.0 netmask 255.255.255.0 gw 20.0.0.14
